1,13099,25725,2015-03-03,Unknown
2,26339,3288,2011-08-29,Just a Friend
3,18379,5769,2014-05-24,Teenage Friend
4,38624,35666,2014-04-06,College friend
5,48008,30942,2012-04-26,College friend
6,39075,36783,2011-02-21,Just a Friend
7,2110,42261,2014-05-17,College
8,3825,27257,2014-10-03,Just a Friend
9,45023,4730,2014-02-05,University Friend
10,45939,15234,2012-12-23,Unknown
11,33555,20054,2015-10-05,Just a Friend
12,34055,28299,2012-02-09,Just a Friend
13,38027,2000,2012-11-06,College
14,9844,43681,2012-02-18,High School Friend
15,29811,21521,2012-12-28,College
16,29124,20423,2014-07-12,High School Friend
17,43966,34002,2011-08-16,College
18,46864,5298,2011-08-10,Just a Friend
19,40410,1321,2015-08-16,Childhood Friend
20,2207,15845,2015-08-07,High School Friend
21,40380,29502,2013-06-25,Childhood Friend
22,44690,30496,2012-05-17,College
23,26285,11787,2014-09-23,Unknown
24,39813,39534,2015-03-08,College
25,28820,9572,2013-10-21,Teenage Friend
26,17738,37468,2011-03-12,Childhood Friend
27,22079,3976,2013-11-03,High School Friend
28,8903,47210,2014-01-08,Unknown
29,43676,36501,2012-09-14,Childhood Friend
30,46649,15636,2013-06-07,Teenage Friend
31,31601,1246,2011-07-21,High School Friend
32,34015,21362,2015-04-11,Childhood Friend
33,4338,5283,2011-09-26,University Friend
34,46685,49113,2012-02-06,High School Friend
35,28401,30021,2015-07-14,Unknown
36,47690,39114,2012-10-06,College friend
37,46455,35306,2013-09-23,Teenage Friend
38,22542,9114,2011-12-21,University Friend
39,45887,24416,2015-09-24,Unknown
40,49696,31305,2011-11-01,University Friend
41,49345,49059,2015-09-13,Unknown
42,42909,10263,2014-02-20,High School Friend
43,14976,41220,2012-03-20,College
44,25002,31629,2012-07-31,Just a Friend
45,34021,20241,2012-08-23,Unknown
46,4366,22275,2012-06-07,Just a Friend
47,18218,8489,2014-12-30,Teenage Friend
48,3254,35667,2011-05-24,High School Friend
49,37856,19096,2014-07-28,Just a Friend
50,10875,12246,2015-03-17,High School Friend
51,24725,23919,2012-02-17,Childhood Friend
52,40199,23840,2014-10-24,University Friend
53,47264,40540,2011-11-22,Childhood Friend
54,33524,36984,2011-05-24,Childhood Friend
55,31935,3627,2014-06-22,Just a Friend
56,7902,40176,2012-04-02,High School Friend
57,12500,6907,2015-09-11,Childhood Friend
58,9248,19114,2015-12-19,University Friend
59,49550,26735,2014-06-25,Just a Friend
60,6662,22076,2012-10-20,Childhood Friend
61,40476,43798,2012-09-03,College friend
62,49714,45659,2014-05-05,High School Friend
63,44126,47104,2015-12-30,Teenage Friend
64,43666,4011,2014-04-23,College friend
65,25831,43625,2013-09-02,Childhood Friend
66,31418,16832,2015-10-29,University Friend
67,25718,48124,2015-09-19,High School Friend
68,11123,222,2015-06-23,Teenage Friend
69,45494,19944,2011-08-19,Just a Friend
70,25246,14008,2014-11-26,University Friend
71,49628,22773,2015-08-16,Just a Friend
72,9347,16267,2013-10-25,Unknown
73,9345,32224,2012-05-15,University Friend
74,16098,709,2013-12-05,Unknown
75,13283,7372,2013-09-17,Just a Friend
76,35311,37544,2013-08-07,Unknown
77,31762,36146,2014-10-19,High School Friend
78,36643,44059,2013-04-20,University Friend
79,23942,4428,2011-05-02,High School Friend
80,41827,7166,2011-05-17,Childhood Friend
81,11881,32832,2013-07-12,High School Friend
82,40864,33617,2015-03-14,College friend
83,11335,39136,2015-10-12,Just a Friend
84,11299,974,2012-11-02,College friend
85,10275,27150,2014-10-03,Unknown
86,23506,46690,2012-08-05,Teenage Friend
87,34556,40013,2011-10-12,Unknown
88,24756,11219,2011-10-28,Unknown
89,37232,1631,2013-09-28,Just a Friend
90,15321,5406,2015-02-10,Unknown
91,8479,941,2013-12-14,Childhood Friend
92,19980,1685,2014-06-29,College friend
93,49282,44664,2012-04-05,High School Friend
94,32881,28746,2015-09-30,Unknown
95,15969,19625,2011-07-30,College
96,13308,30772,2013-02-23,University Friend
97,44911,37406,2013-11-27,College friend
98,31719,15513,2012-04-09,High School Friend
99,42695,18080,2012-12-30,College friend
100,37122,38187,2012-06-09,Childhood Friend
101,34810,11802,2014-02-23,College friend
102,20490,11821,2012-07-14,College friend
103,44688,1184,2011-09-22,Childhood Friend
104,43026,9018,2013-02-05,High School Friend
105,39028,20394,2012-05-17,High School Friend
106,35977,34075,2015-02-06,University Friend
107,4299,19231,2014-12-06,University Friend
108,5755,17378,2011-10-13,Teenage Friend
109,12939,1265,2011-07-07,Childhood Friend
110,26030,41156,2013-09-09,University Friend
111,21383,19741,2015-08-11,College
112,42451,49481,2011-09-16,Childhood Friend
113,37959,17518,2015-01-13,High School Friend
114,47362,2920,2014-09-26,College
115,39753,47950,2014-05-15,Unknown
116,46335,45534,2015-07-27,Teenage Friend
117,1446,46905,2012-09-03,Just a Friend
118,21733,28768,2011-01-25,Childhood Friend
119,19199,24439,2012-01-24,Just a Friend
120,1626,163,2013-07-02,Childhood Friend
121,6079,8957,2012-12-21,College
122,12479,39621,2014-06-19,College
123,18425,14242,2013-10-27,Childhood Friend
124,24130,33517,2014-11-22,Just a Friend
125,109,16745,2012-04-10,University Friend
126,35635,30365,2012-03-12,Just a Friend
127,6222,3333,2014-08-13,Childhood Friend
128,41388,44198,2013-12-14,Childhood Friend
129,27084,38101,2015-03-23,Childhood Friend
130,557,8995,2015-06-08,Just a Friend
131,22863,41223,2014-12-21,Just a Friend
132,9507,22629,2013-03-16,Unknown
133,22669,43893,2015-06-20,Just a Friend
134,27779,28291,2014-11-01,College
135,28676,38818,2014-03-21,University Friend
136,4982,3094,2013-10-24,Just a Friend
137,24252,17489,2013-11-25,University Friend
138,10015,40391,2014-05-16,High School Friend
139,258,17908,2011-02-20,Teenage Friend
140,36546,48092,2013-12-30,Unknown
141,28931,5941,2011-05-10,College friend
142,38196,22623,2012-03-11,University Friend
143,21177,18230,2012-01-25,Unknown
144,46917,4815,2013-09-10,Just a Friend
145,41168,46086,2012-11-27,College
146,28473,37954,2015-02-16,Childhood Friend
147,42731,21131,2013-02-10,Childhood Friend
148,12216,9204,2011-08-31,Childhood Friend
149,6834,39088,2013-03-20,High School Friend
150,47727,7786,2014-12-09,University Friend
151,32963,2127,2011-03-23,College friend
152,22654,19585,2013-11-09,Teenage Friend
153,27079,41312,2013-08-20,College friend
154,37119,31861,2011-03-02,College
155,39327,47476,2012-08-31,University Friend
156,44928,22137,2015-03-21,College friend
157,28685,2561,2013-12-30,Unknown
158,21218,10466,2015-06-25,College
159,30531,21103,2011-11-08,Unknown
160,21222,6898,2011-01-04,Teenage Friend
161,29615,9188,2012-01-28,College
162,12529,19357,2013-08-16,University Friend
163,48999,24648,2015-05-14,University Friend
164,36390,30535,2013-03-05,Just a Friend
165,20351,22073,2014-12-16,College
166,42735,15150,2015-06-04,Unknown
167,33370,10405,2011-05-23,College
168,44558,34026,2013-06-26,College friend
169,41873,11536,2012-01-09,High School Friend
170,6294,41208,2012-09-17,Teenage Friend
171,17282,26544,2013-02-02,Childhood Friend
172,10865,3901,2013-08-24,Just a Friend
173,26249,13648,2012-11-27,Childhood Friend
174,41718,9390,2012-10-02,Unknown
175,18569,14018,2014-11-10,Unknown
176,32593,38444,2011-10-01,Childhood Friend
177,14607,36378,2012-03-04,University Friend
178,9409,44494,2015-04-27,High School Friend
179,24452,45148,2011-05-27,University Friend
180,5563,8320,2011-02-19,Just a Friend
181,47874,30354,2011-05-14,College
182,40417,17909,2012-07-31,College friend
183,5563,14959,2011-09-04,College
184,48715,23739,2012-01-23,University Friend
185,3513,32449,2013-06-28,Just a Friend
186,3462,17198,2014-04-29,University Friend
187,21745,28117,2011-05-04,College
188,28100,42137,2014-01-27,Unknown
189,18750,29635,2011-03-25,University Friend
190,20291,1984,2012-11-23,High School Friend
191,10378,8203,2014-04-25,Childhood Friend
192,32877,37945,2015-04-09,College friend
193,45635,40482,2014-11-28,College friend
194,44974,27486,2013-02-07,College friend
195,28757,45151,2014-07-17,University Friend
196,23143,48018,2015-01-08,Just a Friend
197,37245,14493,2015-12-12,College friend
198,16226,32700,2012-01-18,Just a Friend
199,35300,5411,2015-10-30,Teenage Friend
200,38915,26355,2011-07-29,Just a Friend
201,23577,14464,2012-11-20,Unknown
202,47753,26735,2015-11-15,College
203,40674,21844,2012-03-11,College
204,18158,1471,2014-07-12,High School Friend
